build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,split_mode,main_gpu,no_kv_offload,flash_attn,tensor_split,tensor_buft_overrides,defrag_thold,use_mmap,embeddings,no_op_offload,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/gguf/gemma/gemma-3-12b-it-Q8_0.gguf","gemma3 12B Q8_0","12503660544","11766034176","2048","512","16","0x0","0","50","f16","f16","99","layer","0","0","0","0.00","none","-1.000000","1","0","0","0","64","0","2025-05-25T12:26:34Z","1549742917","2051139","41.297208","0.054658"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/gguf/gemma/gemma-3-12b-it-Q8_0.gguf","gemma3 12B Q8_0","12503660544","11766034176","2048","512","16","0x0","0","50","f16","f16","99","layer","0","0","0","0.00","none","-1.000000","1","0","0","0","64","256","2025-05-25T12:26:37Z","1566534875","1066140","40.854510","0.027804"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/gguf/gemma/gemma-3-12b-it-Q8_0.gguf","gemma3 12B Q8_0","12503660544","11766034176","2048","512","16","0x0","0","50","f16","f16","99","layer","0","0","0","0.00","none","-1.000000","1","0","0","0","64","512","2025-05-25T12:26:41Z","1593670625","1910956","40.158892","0.048154"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/gguf/gemma/gemma-3-12b-it-Q8_0.gguf","gemma3 12B Q8_0","12503660544","11766034176","2048","512","16","0x0","0","50","f16","f16","99","layer","0","0","0","0.00","none","-1.000000","1","0","0","0","64","1024","2025-05-25T12:26:46Z","1653369979","708314","38.708823","0.016583"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/gguf/gemma/gemma-3-12b-it-Q8_0.gguf","gemma3 12B Q8_0","12503660544","11766034176","2048","512","16","0x0","0","50","f16","f16","99","layer","0","0","0","0.00","none","-1.000000","1","0","0","0","64","2048","2025-05-25T12:26:52Z","1770766396","488757","36.142544","0.009976"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/gguf/gemma/gemma-3-12b-it-Q8_0.gguf","gemma3 12B Q8_0","12503660544","11766034176","2048","512","16","0x0","0","50","f16","f16","99","layer","0","0","0","0.00","none","-1.000000","1","0","0","0","64","4096","2025-05-25T12:27:01Z","1713789187","84689","37.344150","0.001333"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/gguf/gemma/gemma-3-12b-it-Q8_0.gguf","gemma3 12B Q8_0","12503660544","11766034176","2048","512","16","0x0","0","50","f16","f16","99","layer","0","0","0","0.00","none","-1.000000","1","0","0","0","64","8192","2025-05-25T12:27:15Z","1891011291","669573","33.844327","0.011933"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/gguf/gemma/gemma-3-12b-it-Q8_0.gguf","gemma3 12B Q8_0","12503660544","11766034176","2048","512","16","0x0","0","50","f16","f16","99","layer","0","0","0","0.00","none","-1.000000","1","0","0","0","64","16384","2025-05-25T12:27:42Z","1964100375","122329","32.584893","0.002029"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/gguf/qwen3/Qwen3-30B-A3B-128K-Q8_0.gguf","qwen3moe 30B.A3B Q8_0","32477962240","30532122624","2048","512","16","0x0","0","50","f16","f16","99","layer","0","0","0","0.00","none","-1.000000","1","0","0","0","64","0","2025-05-25T12:28:34Z","945412250","2076285","67.695499","0.148638"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/gguf/qwen3/Qwen3-30B-A3B-128K-Q8_0.gguf","qwen3moe 30B.A3B Q8_0","32477962240","30532122624","2048","512","16","0x0","0","50","f16","f16","99","layer","0","0","0","0.00","none","-1.000000","1","0","0","0","64","256","2025-05-25T12:28:36Z","989250020","332938","64.695479","0.021578"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/gguf/qwen3/Qwen3-30B-A3B-128K-Q8_0.gguf","qwen3moe 30B.A3B Q8_0","32477962240","30532122624","2048","512","16","0x0","0","50","f16","f16","99","layer","0","0","0","0.00","none","-1.000000","1","0","0","0","64","512","2025-05-25T12:28:38Z","1040508937","4449025","61.508924","0.262987"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/gguf/qwen3/Qwen3-30B-A3B-128K-Q8_0.gguf","qwen3moe 30B.A3B Q8_0","32477962240","30532122624","2048","512","16","0x0","0","50","f16","f16","99","layer","0","0","0","0.00","none","-1.000000","1","0","0","0","64","1024","2025-05-25T12:28:42Z","1129896770","4024454","56.642702","0.201735"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/gguf/qwen3/Qwen3-30B-A3B-128K-Q8_0.gguf","qwen3moe 30B.A3B Q8_0","32477962240","30532122624","2048","512","16","0x0","0","50","f16","f16","99","layer","0","0","0","0.00","none","-1.000000","1","0","0","0","64","2048","2025-05-25T12:28:46Z","1296566562","10139066","49.362646","0.386008"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/gguf/qwen3/Qwen3-30B-A3B-128K-Q8_0.gguf","qwen3moe 30B.A3B Q8_0","32477962240","30532122624","2048","512","16","0x0","0","50","f16","f16","99","layer","0","0","0","0.00","none","-1.000000","1","0","0","0","64","4096","2025-05-25T12:28:52Z","1621551937","10867114","39.469249","0.264506"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/gguf/qwen3/Qwen3-30B-A3B-128K-Q8_0.gguf","qwen3moe 30B.A3B Q8_0","32477962240","30532122624","2048","512","16","0x0","0","50","f16","f16","99","layer","0","0","0","0.00","none","-1.000000","1","0","0","0","64","8192","2025-05-25T12:29:02Z","2273048124","7014174","28.156159","0.086880"
"4c32832c","5473","Accelerate, Apple M2 Ultra","Apple M2 Ultra","Metal,BLAS","./llms/gguf/qwen3/Qwen3-30B-A3B-128K-Q8_0.gguf","qwen3moe 30B.A3B Q8_0","32477962240","30532122624","2048","512","16","0x0","0","50","f16","f16","99","layer","0","0","0","0.00","none","-1.000000","1","0","0","0","64","16384","2025-05-25T12:29:24Z","3633836250","8767947","17.612292","0.042496"
