model_filename,n_gpu_layers,n_depth,avg_ts
Qwen3-4B-IQ4_NL.gguf,0,0,53.321167
Qwen3-4B-IQ4_NL.gguf,0,1024,47.13484
Qwen3-4B-IQ4_NL.gguf,0,2048,42.451662
Qwen3-4B-IQ4_NL.gguf,0,4096,36.94965
Qwen3-4B-IQ4_NL.gguf,0,8192,28.168078
Qwen3-4B-IQ4_NL.gguf,0,16384,20.281599
Qwen3-4B-IQ4_NL.gguf,99,0,113.988824
Qwen3-4B-IQ4_NL.gguf,99,1024,91.918838
Qwen3-4B-IQ4_NL.gguf,99,2048,77.598043
Qwen3-4B-IQ4_NL.gguf,99,4096,58.230502
Qwen3-4B-IQ4_NL.gguf,99,8192,40.399308
Qwen3-4B-IQ4_NL.gguf,99,16384,24.295963
Qwen3-4B-IQ4_XS.gguf,0,0,57.521186
Qwen3-4B-IQ4_XS.gguf,0,1024,48.343551
Qwen3-4B-IQ4_XS.gguf,0,2048,44.773195
Qwen3-4B-IQ4_XS.gguf,0,4096,38.303795
Qwen3-4B-IQ4_XS.gguf,0,8192,29.446549
